"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"1131","sim_parBatHGherringGrid353","a1M1.25_sr0.8_diffM_rw5_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.884,0.623,0.493,NA,0.005,0.11,6.5,1,7.3,106.6,101.3,0,0,0,0.037,0.237,0.026,0.012,0.011,3.008,2.286,0.771,1.888,0.625,2.087,0.699
"1132","sim_parBatHGherringGrid353","a1M1.25_sr0.8_diffM_rw5_hiPondM","cSOK+SR_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.703,0.257,0.147,0.22,0.137,0.15,13,6.1,44.3,644.3,65.2,4,1475.8,135.7,0.002,0.042,0.085,0.069,0.046,39.332,11.484,0.292,10.46,0.264,18.848,0.477
"1133","sim_parBatHGherringGrid354","a1M1.25_sr0.8_diffM_rw5_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.633,0.323,0.235,NA,0,NA,7,1,7.3,106,80,0,0,0,0.027,0.169,0.158,0.109,0.076,5.355,1.471,0.267,1.197,0.214,3.006,0.546
"1134","sim_parBatHGherringGrid354","a1M1.25_sr0.8_diffM_rw5_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.634,0.287,0.185,NA,0,NA,11,8,58.1,845.2,63,0,0,0,0.004,0.087,0.105,0.095,0.06,30.969,8.166,0.261,7.375,0.235,15.891,0.509
"1135","sim_parBatHGherringGrid354","a1M1.25_sr0.8_diffM_rw5_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.892,0.65,0.506,NA,0,NA,8,1,7.3,106.9,88.4,0,0,0,0.039,0.248,0.031,0.016,0.014,3.008,2.286,0.771,1.888,0.625,2.156,0.722
"1136","sim_parBatHGherringGrid354","a1M1.25_sr0.8_diffM_rw5_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.759,0.339,0.205,0,0,NA,14,7.3,53,770.3,52.1,0,0,0,0.003,0.069,0.101,0.083,0.053,39.332,11.923,0.303,10.46,0.264,21.053,0.533
"1137","sim_parBatHGherringGrid355","a1M1.25_sr0.8_diffM_rw5_hiPondM","NoFish","HG Herring","C/S",1,100,0,1,0.634,0.325,0.236,NA,0,NA,0,0,0,0,0,0,0,0,0.027,0.169,0.158,0.11,0.076,5.355,1.471,0.267,1.197,0.214,3.015,0.547
"1138","sim_parBatHGherringGrid355","a1M1.25_sr0.8_diffM_rw5_hiPondM","NoFish","HG Herring","JP/S",1,100,0,1,0.642,0.293,0.189,NA,0,NA,0,0,0,0,0,0,0,0,0.004,0.089,0.109,0.096,0.06,30.969,8.164,0.261,7.375,0.235,16.03,0.513
"1139","sim_parBatHGherringGrid355","a1M1.25_sr0.8_diffM_rw5_hiPondM","NoFish","HG Herring","Lou",1,100,0,1,0.893,0.652,0.509,NA,0,NA,0,0,0,0,0,0,0,0,0.039,0.249,0.031,0.017,0.015,3.008,2.286,0.771,1.888,0.625,2.166,0.726
"1140","sim_parBatHGherringGrid355","a1M1.25_sr0.8_diffM_rw5_hiPondM","NoFish","HG Herring","aggregate",1,100,0,1,0.763,0.349,0.212,0,0,NA,0,0,0,0,0,0,0,0,0.003,0.074,0.105,0.084,0.054,39.332,11.921,0.303,10.46,0.264,21.211,0.537
"1141","sim_parBatHGherringGrid356","a1M1.64_sr0.8_diffM_rw5_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.333,0.111,0.066,NA,0,NA,4,1,7.3,105.7,100.1,0,0,0,0.027,0.152,0.157,0.124,0.08,8.518,1.452,0.163,1.202,0.133,2.861,0.331
"1142","sim_parBatHGherringGrid356","a1M1.64_sr0.8_diffM_rw5_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.284,0.064,0.033,NA,0.026,0.13,10,6.8,49.5,718.7,82.2,0,0,0,0.003,0.063,0.082,0.077,0.056,49.929,7.495,0.151,7.294,0.146,14.647,0.295
