"","simLabel","scenario","mp","species","stock","projObsErrMult","nGoodReps","medProbPDH_sp","pGoodReps","pBtGt.3B0","pBtGt.5B0","pBtGt.6B0","pBtGtB0","pCtGt650t","pUtGt.1HR","avgUtGt0.1HR","nYrsSOK","avgLicSOK","avgSOK_t","avgPonded_t","pondAAV","nYrsComm","avgCatch_t","catchAAV","pBtGtHistSB","pBtGt.5HistSB","growthRate6yrs","growthRate11yrs","growthRate16yrs","B0","B7585","BtMP","DtMP","BhistT","DhistT","BnT","DnT"
"557","sim_parBatHGHerringGrid_Nov3_224","a1M1.64_sr0.8_identM_rw15_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.224,0.063,0.035,0.004,NA,0.002,0.1,3,1,7.3,105.4,125,0,0,0,0.026,0.143,0.052,0.048,0.053,10.276,8.365,1.846,0.176,1.532,0.145,3.048,0.296
"558","sim_parBatHGHerringGrid_Nov3_224","a1M1.64_sr0.8_identM_rw15_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.14,0.025,0.013,0,NA,0.035,0.13,3,7.2,51.9,753.4,136.8,0,0,0,0.002,0.027,0.02,0.057,0.05,51.665,53.419,6.994,0.137,6.551,0.129,12.779,0.245
"559","sim_parBatHGHerringGrid_Nov3_224","a1M1.64_sr0.8_identM_rw15_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.209,0.039,0.02,0.004,NA,0.031,0.12,2,1,7.3,106,134.6,0,0,0,0.006,0.105,0.056,0.055,0.052,5.602,4.86,0.918,0.162,0.747,0.131,1.664,0.3
"560","sim_parBatHGHerringGrid_Nov3_224","a1M1.64_sr0.8_identM_rw15_hiPondM","oSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.139,0.019,0.008,0,0,0.015,0.12,7,3.8,27.3,396.4,133,0,0,0,0.001,0.023,0.036,0.05,0.049,67.544,66.644,9.758,0.145,8.83,0.132,17.491,0.258
"561","sim_parBatHGHerringGrid_Nov3_225","a1M1.64_sr0.8_identM_rw15_hiPondM","NoFish","HG Herring","C/S",1,100,0,1,0.224,0.065,0.035,0.004,NA,0,NA,0,0,0,0,0,0,0,0,0.026,0.143,0.054,0.048,0.053,10.276,8.365,1.846,0.176,1.532,0.145,3.056,0.297
"562","sim_parBatHGHerringGrid_Nov3_225","a1M1.64_sr0.8_identM_rw15_hiPondM","NoFish","HG Herring","JP/S",1,100,0,1,0.143,0.026,0.013,0,NA,0,NA,0,0,0,0,0,0,0,0,0.002,0.027,0.02,0.058,0.05,51.665,53.419,6.994,0.137,6.551,0.129,12.869,0.247
"563","sim_parBatHGHerringGrid_Nov3_225","a1M1.64_sr0.8_identM_rw15_hiPondM","NoFish","HG Herring","Lou",1,100,0,1,0.211,0.04,0.02,0.004,NA,0,NA,0,0,0,0,0,0,0,0,0.006,0.105,0.056,0.055,0.053,5.602,4.86,0.918,0.162,0.747,0.131,1.673,0.301
"564","sim_parBatHGHerringGrid_Nov3_225","a1M1.64_sr0.8_identM_rw15_hiPondM","NoFish","HG Herring","aggregate",1,100,0,1,0.141,0.019,0.008,0,0,0,NA,0,0,0,0,0,0,0,0,0.002,0.024,0.036,0.05,0.05,67.544,66.644,9.758,0.145,8.83,0.132,17.598,0.259
"565","sim_parBatHGHerringGrid_Nov3_226","a1Mmean_sr0.67_diffM_rw15_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.642,0.387,0.297,0.105,NA,0.001,0.13,1,1,7.3,104.8,100.6,0,0,0,0.013,0.095,0.074,0.084,0.072,3.733,8.393,1.329,0.361,1.194,0.313,2.628,0.706
"566","sim_parBatHGHerringGrid_Nov3_226","a1Mmean_sr0.67_diffM_rw15_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.767,0.495,0.383,0.131,NA,0.019,0.11,3,5.6,40.6,588.2,125.6,0,0,0,0.001,0.041,0.034,0.065,0.053,17.63,53.056,7.679,0.435,7.048,0.404,13.83,0.794
"567","sim_parBatHGHerringGrid_Nov3_226","a1Mmean_sr0.67_diffM_rw15_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","Lou",1,100,0,1,0.968,0.881,0.835,0.592,NA,0.009,0.12,6,1,7.3,106.2,100.5,0,0,0,0.084,0.355,0.037,0.01,0.016,1.874,5.772,2.919,1.544,2.376,1.253,2.655,1.383
"568","sim_parBatHGHerringGrid_Nov3_226","a1Mmean_sr0.67_diffM_rw15_hiPondM","cSOK_HS30-100_HR0.1","HG Herring","aggregate",1,100,0,1,0.912,0.604,0.46,0.126,0,0.003,0.11,8,3,21.9,318.1,115.2,0,0,0,0,0.037,0.039,0.049,0.043,23.236,67.221,11.927,0.513,10.618,0.459,19.112,0.828
"569","sim_parBatHGHerringGrid_Nov3_227","a1Mmean_sr0.67_diffM_rw15_hiPondM","SR_HS30-100_HR0.1","HG Herring","C/S",1,100,0,1,0.644,0.389,0.303,0.108,NA,0,NA,0,0,0,0,0,0,0,0,0.014,0.097,0.074,0.085,0.073,3.733,8.393,1.329,0.361,1.194,0.313,2.651,0.712
"570","sim_parBatHGHerringGrid_Nov3_227","a1Mmean_sr0.67_diffM_rw15_hiPondM","SR_HS30-100_HR0.1","HG Herring","JP/S",1,100,0,1,0.765,0.483,0.372,0.114,NA,0.06,0.18,0,0,0,0,0,2,817.2,139.7,0.001,0.035,0.031,0.06,0.051,17.63,53.056,7.679,0.435,7.048,0.404,13.249,0.762
