"","Year","SurfaceWt","SSB","SSBdep","spawnIdx","scaledIdx","Catch","HR","SurplusProd","perCapSurplusProd"
"48",1998,NA,0.536327883636551,0.27759918568319,NA,NA,0.0322949365116633,0.0567950060520706,0.0707539897701855,0.131923011890489
"49",1999,NA,0.574786936895073,0.297505295718571,0.0436451223063857,0.0437373237164269,NA,NA,0.10898419652453,0.189607991290213
"50",2000,NA,0.683771133419603,0.35391467723797,NA,NA,NA,NA,-0.0465770533029336,-0.0681178994351479
"51",2001,NA,0.637194080116669,0.329806752845251,0.254783409041749,0.255321645351498,NA,NA,0.117560722176643,0.184497511582527
"52",2002,NA,0.754754802293312,0.390655278048314,0.0996392686557425,0.0998497590972869,0.0222035392601839,0.0285775157723243,0.435127096204214,0.576514511576589
"53",2003,NA,1.16767835923734,0.60438133379586,NA,NA,NA,NA,-0.276253085262334,-0.236583202109497
"54",2004,NA,0.891425273975008,0.461394862551227,NA,NA,NA,NA,0.300929734783984,0.337582681992053
"55",2005,NA,1.19235500875899,0.617153777708624,0.503053854133335,0.504116567953957,NA,NA,0.0173673927377835,0.0145656223274137
"56",2006,NA,1.20972240149678,0.626143006552665,NA,NA,NA,NA,0.0226393873391577,0.0187145309627616
"57",2007,1,1.23236178883593,0.637860979235911,0.014052288,0.114473893367574,NA,NA,0.0376972050597206,0.0305893978547718
"58",2008,NA,1.27005899389565,0.657372762505793,NA,NA,NA,NA,0.0532578695315675,0.0419333824551012
"59",2009,NA,1.32331686342722,0.684938625971515,NA,NA,NA,NA,0.111439705750351,0.0842124126354264
"60",2010,1,1.43475656917757,0.74261896017177,0.052178427,0.4250601530858,NA,NA,-0.0535651531985033,-0.0373339661579022
"61",2011,1,1.38119141597907,0.714894049044501,0.12879101865,1.0491678889332,NA,NA,0.440526522913729,0.31894675699346
"62",2012,1,1.8217179388928,0.942907187581168,0.197931017275,1.61240177867646,NA,NA,0.0641524458846849,0.0352153560740997
"63",2013,NA,1.88587038477748,0.976111999936667,1.27190802955524,1.27459496700829,NA,NA,-0.257717864096745,-0.1366572518329
"64",2014,NA,1.62815252068074,0.842719216544206,NA,NA,NA,NA,-0.159183871752904,-0.0977696313649707
"65",2015,NA,1.46896864892783,0.760326869398502,NA,NA,NA,NA,-0.186901240251841,-0.127232967421229
"66",2016,NA,1.28206740867599,0.663588225594838,NA,NA,NA,NA,-0.0019757278246828,-0.00154104831876443
"67",2017,NA,1.28009168085131,0.662565604075433,NA,NA,NA,NA,0.0727719336379189,0.056849001307096
"68",2018,NA,1.35286361448923,0.700231796967554,NA,NA,NA,NA,-0.175003990192558,-0.129358191260566
"69",2019,1,1.17785962429667,0.609651078248695,0.184247842183431,1.50093478295575,NA,NA,NA,NA
