"","Year","SurfaceWt","SSB","SSBdep","spawnIdx","scaledIdx","Catch","HR","SurplusProd","perCapSurplusProd"
"30",1980,1,131.329489700621,7.57368708667141,28.931,131.265202586939,2.47472174225727,0.0184950960479577,-7.05553420356638,-0.0537239139484225
"31",1981,1,121.799233754797,7.02408336435361,14.976,67.9488325305728,4.74869206518113,0.0375248510349859,-39.6789143220217,-0.32577310298932
"32",1982,1,77.3716273675942,4.46197191814666,19.667,89.2327516946298,3.36509171717877,0.0416798175021882,-24.2921806999198,-0.313967555374106
"33",1983,1,49.7143549504956,2.866994830857,15.396,69.854448827504,5.71978152479646,0.103181575261768,4.17438084015689,0.0839673137530124
"34",1984,1,48.1689542658561,2.77787256870804,18.112,82.1774342143253,4.82049443935068,0.0909708358388152,1.59571838636633,0.0331275281078176
"35",1985,1,44.9441782128717,2.59190181068888,14.901,67.6085439061209,6.29038866032858,0.12277626306272,-8.61663813304924,-0.191718671375807
"36",1986,1,30.0371514194939,1.73222317656763,3.346,15.181409832218,3.56804659554957,0.106175437322295,-7.93928363108086,-0.26431546454596
"37",1987,1,18.5298211928635,1.06860285383456,8.701,39.4780176180899,2.26105408703861,0.108752231765072,14.3509911871436,0.774480824060555
"38",1988,0.142981867972393,30.6197582929685,1.76582173972583,9.07783291920259,10.2473054261459,0.246550147224245,0.00798767846508002,3.6793440204508,0.120162412297543
"39",1989,0.232440208177712,34.052552166195,1.96378875146194,15.1442586339726,18.5498023678795,0.246683905963325,0.00719211079349854,-10.5045460365918,-0.308480432988515
"40",1990,NA,23.3013222236399,1.34377224513587,16.9537935564934,17.0065062382568,1.67726658046601,0.0671481721253328,-10.8578540380407,-0.465975876125392
"41",1991,NA,10.7662016051332,0.620879912464269,12.5621613321228,12.6012195647451,4.6727245992141,0.302658652380782,16.7068580569312,1.5517875913605
"42",1992,NA,22.8003350628503,1.31488063824004,7.05050717369939,7.07242858849539,0.235318419797867,0.0102154002262242,-9.20794996342411,-0.403851519639598
"43",1993,NA,13.3570666796284,0.770293432632078,4.7737848209272,4.78862745772314,2.91777744742839,0.179281437330489,-2.36799639107343,-0.177284163347406
"44",1994,0.112838770220434,8.07129284112653,0.465466259732939,9.77970916418374,10.7554285897757,0.193089196282196,0.0233640210977878,0.267810809377916,0.0331806582476243
"45",1995,0.00564467091422819,8.14601445422225,0.4697754070348,4.54338294643601,4.5776357594668,NA,NA,3.57603561822613,0.438992054129316
"46",1996,NA,11.7220500724484,0.676003077948443,6.55086279102429,6.57123071307242,NA,NA,1.69429545878569,0.144539176024165
"47",1997,NA,13.4163455312341,0.77371200582491,9.48434851471712,9.51383722137875,0.0701249925403132,0.0051996548998268,9.74184001777092,0.726117257124254
"48",1998,NA,23.0880605564647,1.33147358214366,16.7209400744007,16.7729287688478,1.40793022664109,0.0574759453131449,-11.2097769535453,-0.485522676369047
"49",1999,NA,10.4703533762782,0.60381853565087,8.09028420480694,8.1154384910876,3.16372960785666,0.232045647040442,-1.88272092043591,-0.179814458287666
"50",2000,NA,5.42390284798566,0.312792983912395,4.59763523010006,4.61193018314056,1.91027880198813,0.260462433732461,1.30142268067018,0.239942107582827
"51",2001,NA,4.81504672666771,0.277680643537217,12.2687759389177,12.3069219785954,0.186400898472382,0.0372693892735029,-1.3347472228882,-0.277203379044241
